ReportIndex,Report Name,API URL,Notes,Updation Time,Interval,Input,Input Description,Column_Name,Column_DataType,Column_Description,Is_Unique,Is_Index,GQL_Alias
1,Company Master,http://jwttoken.cmots.com/Aidea/api/CompanyMaster,,11:30 PM,Once on trading day,NA,NA,Output,OutputType,OutDesc,,,
,,,,,,,,co_code,Int,CMOTS Company Code,TRUE,TRUE,
,,,,,,,,bsecode,Int,BSE Scrip Code,,,
,,,,,,,,nsesymbol,Varchar(100),NSE Symbol,,TRUE,
,,,,,,,,companyname,Varchar(100),Company Name,,,company_name
,,,,,,,,companyshortname,Varchar(100),Company Short Name,,,
,,,,,,,,categoryname,Varchar(100),Category Name,,,
,,,,,,,,isin,Varchar(100),ISIN,,,
,,,,,,,,bsegroup,Varchar(100),BSE Group,,,
,,,,,,,,mcaptype,Varchar(100),Mcap Type,,,
,,,,,,,,sectorcode,Int,Sect Code,,,
,,,,,,,,sectorname,Varchar(100),Sect Name,,,
,,,,,,,,industrycode,Int,Industry Code,,,
,,,,,,,,industryname,Varchar(100),Industry Name,,,
,,,,,,,,bselistedflag,Varchar(100),BSE Listed Flag,,,
,,,,,,,,nselistedflag,Varchar(100),NSE Listed Flag,,,
,,,,,,,,displaytype,Varchar(100),Display Type,,,
,,,,,,,,BSEStatus,Varchar(100),BSE Status,,,
,,,,,,,,NSEStatus,Varchar(100),NSE Status,,,
,,,,,,,,mcap,Float,Market Capitalization,,,
2,Sector Master,http://jwttoken.cmots.com/Aidea/api/SectorMaster,,11:30 PM,Once on trading day,N/A,N/A,Output,OutputType,OutDesc,,,
,,,,,,,,sect_code,int,Sect Code,TRUE,TRUE,
,,,,,,,,sect_name,varchar(100),Sect Name,,,sector_name
3,Index Master,http://jwttoken.cmots.com/Aidea/api/Index-master/NSE,,11:30 PM,Once on trading day,exchange,Exchange(BSE / NSE),Output,OutputType,OutDesc,,,
,,,,,,,,exchange,varchar(100),Exchange,,,
,,,,,,,,index_code,int,Index Code,TRUE,TRUE,
,,,,,,,,index_name,varchar(100),Index Name,,,index_name
,,,,,,,,index_symbol,varchar(100),Index Symbol,,,index_symbol
4,Sector Wise Company,http://jwttoken.cmots.com/Aidea/api/SectorWiseComp/00000006,,11:30 PM,Once on trading day,sect_code,Sect Code,Output,OutputType,OutDesc,,,
,,,,,,,,co_code,Int,CMOTS Company Code,TRUE,TRUE,
,,,,,,,,co_name,Varchar(100),Company Name,,,
,,,,,,,,lname,Varchar(100),Last Name,,,
,,,,,,,,sect_code,int,Sect Code,TRUE,TRUE,
,,,,,,,,sc_code,Int,BSE Scrip Code,,,
,,,,,,,,symbol,Varchar(100),NSE Company Symbol,,,
,,,,,,,,sect_name,varchar(50),Sect Name,,,
,,,,,,,,Exchange_BSE,varchar(50),Exchange BSE,,,
,,,,,,,,Exchange_NSE,varchar(50),Exchange NSE,,,
,,,,,,,,isin,varchar(50),ISIN,,,
5,Index Wise Company,http://jwttoken.cmots.com/Aidea/api/IndexWiseComp/26753,,11:30 PM,Once on trading day,index_code,index_code,Output,OutputType,OutDesc,,,
,,,,,,,,co_code,Int,CMOTS Company Code,TRUE,TRUE,
,,,,,,,,CompanyShortName,varchar(50),Company Short Name,,,
,,,,,,,,CompanyLongName,Varchar(100),Company Long Name,,,
,,,,,,,,index_code,int,Index Code,TRUE,TRUE,
,,,,,,,,BSECode,Int,Scrip Code,,,
,,,,,,,,NSESymbol,varchar(50),Symbol,,,
,,,,,,,,ISIN,varchar(50),ISIN,,,
,,,,,,,,SectorName,Varchar(100),Sect Name,,,sector_name
6,Exchange Holidays,http://jwttoken.cmots.com/Aidea/api/Exchange-Holidays/NSE,,11:30 PM,Once on trading day,Exchg,Exchange(BSE / NSE),Output,OutputType,OutDesc,,,
,,,,,,,,HolidayDate,Datetime,Holiday Date,TRUE,TRUE,
,,,,,,,,Purpose,Varchar(100),Purpose,,,
,,,,,,,,day,Varchar(100),Day,,,
7,Results Today,http://jwttoken.cmots.com/Aidea/api/Today-Results,,11:30 PM,Once on trading day,N/A,N/A,Output,OutputType,OutDesc,,,
,,,,,,,,co_code,int,CMOTS Company Code,TRUE,TRUE,
,,,,,,,,symbol,Varchar(100),NSE Symbol,,,
,,,,,,,,isin,Varchar(100),ISIN,,,
,,,,,,,,co_name,Varchar(100),Company Name,,,
,,,,,,,,AnnouncementDate,Datetime,Announcement Date,,,
,,,,,,,,ResultDate,Datetime,Result Date,TRUE,TRUE,
8,Result Data Declaration List,http://jwttoken.cmots.com/Aidea/api/ResultDataDeclarations/2024-08-10,,11:30 PM,Once on trading day,latestdate,Latest Date,Output,OutputType,OutDesc,,,
,,,,,,,,co_code,int,CMOTS Company Code,TRUE,TRUE,
,,,,,,,,ResultDate,Datetime,Result Date,TRUE,TRUE,
,,,,,,,,ReportType,Varchar(100),Report Type,TRUE,TRUE,
9,Annual Report Data Declaration List,http://jwttoken.cmots.com/Aidea/api/AnnualDataDeclarations/2024-08-10,,11:30 PM,Once on trading day,latestdate,Latest Date,Output,OutputType,OutDesc,,,
,,,,,,,,co_code,int,CMOTS Company Code,TRUE,TRUE,
,,,,,,,,ReportDate,Datetime,Report Date,TRUE,TRUE,report_date
,,,,,,,,ReportType,Varchar(100),Report Type,TRUE,TRUE,report_type
10,Company Profile,http://jwttoken.cmots.com/Aidea/api/CompanyProfile/476,,11:30 PM,Once on trading day,cocode,CMOTS Company code,Output,OutputType,OutDesc,,,
,,,,,,,,lname,varchar(100),Company Long Name,,,
,,,,,,,,isin,varchar(50),ISIN,,,
,,,,,,,,hse_s_name,varchar(50),HSE_S_NAME,,,
,,,,,,,,inc_dt,varchar(50),INC_DT,,,
,,,,,,,,regadd1,varchar(100),Registrar Address 1,,,
,,,,,,,,regadd2,varchar(50),Registrar Address 2,,,
,,,,,,,,regdist,varchar(100),Registrar District,,,
,,,,,,,,regstate,varchar(50),Registrar State,,,
,,,,,,,,regpin,varchar(50),Registrar Pincode,,,
,,,,,,,,tel1,varchar(50),Telephone,,,
,,,,,,,,ind_l_name,varchar(100),Industry Last Name,,,
,,,,,,,,tel2,varchar(100),Telephone 2,,,
,,,,,,,,fax1,varchar(50),Fax 1,,,
,,,,,,,,fax2,null,Fax 2,,,
,,,,,,,,auditor,varchar(100),Auditor,,,
,,,,,,,,fv,Int,Face Value,,,
,,,,,,,,mkt_lot,Int,Market Lot,,,
,,,,,,,,chairman,varchar(50),Chairman,,,
,,,,,,,,co_sec,varchar(50),Company Sector,,,
,,,,,,,,co_code,Int,CMOTS Company Code,TRUE,TRUE,
,,,,,,,,email,varchar(50),Company Email,,,
,,,,,,,,internet,varchar(50),Internet,,,
,,,,,,,,dir_name,varchar(50),Director Name,,,
,,,,,,,,dir_desg,varchar(50),Director Designation,,,
,,,,,,,,co_code1,Int,Company Code 1,,,
,,,,,,,,ho_add1,varchar(50),Head Office Address 1,,,
,,,,,,,,ho_add2,varchar(50),Head Office Address 2,,,
,,,,,,,,ho_add3,varchar(50),Head Office Address 3,,,
,,,,,,,,ho_city,varchar(50),Head Office City,,,
,,,,,,,,ho_stcode,varchar(50),Head Office State Code,,,
,,,,,,,,ho_statename,varchar(50),Head Office State Name,,,
,,,,,,,,ho_pin,Int,Head Office Pin code,,,
,,,,,,,,ho_tel1,varchar(50),Head Office Telephone1,,,
,,,,,,,,ho_tel2,Int,Head  Office Telephone2,,,
,,,,,,,,ho_fax1,Int,Head Office Fax1,,,
,,,,,,,,ho_fax2,Int,Head Office Fax2,,,
,,,,,,,,ho_email,varchar(50),Head Office Email,,,
,,,,,,,,ho_ctry_name,varchar(50),Head Office Country Name,,,
,,,,,,,,co_code2,Float,Company Code 2,,,
,,,,,,,,co_add1,Float,Company Address 1,,,
,,,,,,,,co_add2,Float,Company Address 2,,,
,,,,,,,,co_add3,Float,Company Address 3,,,
,,,,,,,,co_city,Float,Company City,,,
,,,,,,,,co_stcode,Float,Company State Code,,,
,,,,,,,,co_statename,Float,Company State Name,,,
,,,,,,,,co_pin,Float,Company Pin Code,,,
,,,,,,,,co_tel1,Float,Company Telephone 1,,,
,,,,,,,,co_tel2,Float,Company Telephone 2,,,
,,,,,,,,co_fax1,Float,Company Fax 1,,,
,,,,,,,,co_fax2,Float,Company Fax 2,,,
,,,,,,,,co_email,Float,Company Email,,,
,,,,,,,,co_ctry_name,Float,Company Country Name,,,
,,,,,,,,co_code3,Int,Company Code 3,,,
,,,,,,,,rcode,varchar(50),Registrar Code,,,
,,,,,,,,reg_name,varchar(100),Regsitrar Name,,,
,,,,,,,,reg_add1,varchar(100),Registrar Address 1,,,
,,,,,,,,reg_add2,varchar(100),Registrar Address 2,,,
,,,,,,,,reg_add3,varchar(100),Registrar Address 3,,,
,,,,,,,,reg_add4,varchar(100),Registrar Address 4,,,
,,,,,,,,reg_tel,varchar(100),Registrar Telephone,,,
,,,,,,,,reg_fax,varchar(100),Registrar Fax,,,
,,,,,,,,reg_email,varchar(100),Registrar Email,,,
,,,,,,,,reg_internet,varchar(100),Registrar Internet,,,
,,,,,,,,flag,varchar(100),Flag,,,
11,Company Background,http://jwttoken.cmots.com/Aidea/api/CompBackground/476,,11:30 PM,Once on trading day,cocode,CMOTS Company code,Output,OutputType,OutDesc,,,
,,,,,,,,lname,varchar(100),Company Long Name,,,
,,,,,,,,isin,varchar(50),ISIN,,,
,,,,,,,,hse_s_name,varchar(50),HSE_S_NAME,,,
,,,,,,,,inc_dt,varchar(50),INC_DT,,,
,,,,,,,,regadd1,varchar(100),Registrar Address 1,,,
,,,,,,,,regadd2,varchar(50),Registrar Address 2,,,
,,,,,,,,regdist,varchar(100),Registrar District,,,
,,,,,,,,regstate,varchar(50),Registrar State,,,
,,,,,,,,regpin,varchar(50),Registrar Pincode,,,
,,,,,,,,tel1,varchar(50),Telephone,,,
,,,,,,,,ind_l_name,varchar(100),Industry Last Name,,,
,,,,,,,,tel2,varchar(100),Telephone 2,,,
,,,,,,,,fax1,varchar(50),Fax 1,,,
,,,,,,,,fax2,null,Fax 2,,,
,,,,,,,,auditor,varchar(100),Auditor,,,
,,,,,,,,fv,Int,Face Value,,,
,,,,,,,,mkt_lot,Int,Market Lot,,,
,,,,,,,,chairman,varchar(50),Chairman,,,
,,,,,,,,co_sec,varchar(50),Company Sector,,,
,,,,,,,,co_code,Int,CMOTS Company Code,TRUE,TRUE,
,,,,,,,,email,varchar(50),Company Email,,,
,,,,,,,,internet,varchar(50),Internet,,,
,,,,,,,,dir_name,varchar(50),Director Name,,,
,,,,,,,,dir_desg,varchar(50),Director Designation,,,
,,,,,,,,co_code1,Int,Company Code 1,,,
,,,,,,,,ho_add1,varchar(50),Head Office Address 1,,,
,,,,,,,,ho_add2,varchar(50),Head Office Address 2,,,
,,,,,,,,ho_add3,varchar(50),Head Office Address 3,,,
,,,,,,,,ho_city,varchar(50),Head Office City,,,
,,,,,,,,ho_stcode,varchar(50),Head Office State Code,,,
,,,,,,,,ho_statename,varchar(50),Head Office State Name,,,
,,,,,,,,ho_pin,Int,Head Office Pin code,,,
,,,,,,,,ho_tel1,varchar(50),Head Office Telephone1,,,
,,,,,,,,ho_tel2,Int,Head  Office Telephone2,,,
,,,,,,,,ho_fax1,Int,Head Office Fax1,,,
,,,,,,,,ho_fax2,Int,Head Office Fax2,,,
,,,,,,,,ho_email,varchar(50),Head Office Email,,,
,,,,,,,,ho_ctry_name,varchar(50),Head Office Country Name,,,
,,,,,,,,co_code2,Float,Company Code 2,,,
,,,,,,,,co_add1,Float,Company Address 1,,,
,,,,,,,,co_add2,Float,Company Address 2,,,
,,,,,,,,co_add3,Float,Company Address 3,,,
,,,,,,,,co_city,Float,Company City,,,
,,,,,,,,co_stcode,Float,Company State Code,,,
,,,,,,,,co_statename,Float,Company State Name,,,
,,,,,,,,co_pin,Float,Company Pin Code,,,
,,,,,,,,co_tel1,Float,Company Telephone 1,,,
,,,,,,,,co_tel2,Float,Company Telephone 2,,,
,,,,,,,,co_fax1,Float,Company Fax 1,,,
,,,,,,,,co_fax2,Float,Company Fax 2,,,
,,,,,,,,co_email,Float,Company Email,,,
,,,,,,,,co_ctry_name,Float,Company Country Name,,,
,,,,,,,,co_code3,Int,Company Code 3,,,
,,,,,,,,rcode,varchar(50),Registrar Code,,,
,,,,,,,,reg_name,varchar(100),Regsitrar Name,,,
,,,,,,,,reg_add1,varchar(100),Registrar Address 1,,,
,,,,,,,,reg_add2,varchar(100),Registrar Address 2,,,
,,,,,,,,reg_add3,varchar(100),Registrar Address 3,,,
,,,,,,,,reg_add4,varchar(100),Registrar Address 4,,,
,,,,,,,,reg_tel,varchar(100),Registrar Telephone,,,
,,,,,,,,reg_fax,varchar(100),Registrar Fax,,,
,,,,,,,,reg_email,varchar(100),Registrar Email,,,
,,,,,,,,reg_internet,varchar(100),Registrar Internet,,,
,,,,,,,,flag,varchar(100),Flag,,,
12,Board Of Directors,http://jwttoken.cmots.com/Aidea/api/BoardOfDirectors/476,,11:30 PM,Once on trading day,cocode,CMOTS Company code,Output,OutputType,OutDesc,,,
,,,,,,,,co_code,Int,CMOTS Company Code,TRUE,TRUE,
,,,,,,,,slno,Int,Serial Number for Same Multiple Records,TRUE,TRUE,
,,,,,,,,dir_name,varchar(100),Director Name,,,
,,,,,,,,dir_desg,varchar(100),Director Designation,,,
,,,,,,,,year,Int,year,TRUE,TRUE,
13,Director's Report,http://jwttoken.cmots.com/Aidea/api/DirectorsReports/6,,11:30 PM,Once on trading day,Cocode,CMOTS Company code,Output,OutputType,OutDesc,,,
,,,,,,,,co_code,Int,CMOTS Company Code,TRUE,TRUE,
,,,,,,,,lname,varchar(100),Company Long Name,,,
,,,,,,,,directorrep,ntext,Director Report,,,director_report
,,,,,,,,year,Int,YEAR,TRUE,TRUE,
,,,,,,,,symbol,varchar(50),Symbol,,,
14,Chairman's Report,http://jwttoken.cmots.com/Aidea/api/ChairmansReport/6,,11:30 PM,Once on trading day,Cocode,CMOTS Company code,Output,OutputType,OutDesc,,,
,,,,,,,,co_code,Int,CMOTS Company Code,TRUE,TRUE,
,,,,,,,,lname,varchar(100),Company Long Name,,,
,,,,,,,,chairreport,ntext,Chairman's Report,,,chairman_report
,,,,,,,,yr,Int,YEAR,TRUE,TRUE,
15,Bankers,http://jwttoken.cmots.com/Aidea/api/Bankers/6,,11:30 PM,Once on trading day,cocode,CMOTS Company code,Output,OutputType,OutDesc,,,
,,,,,,,,co_code,Int,CMOTS Company Code,TRUE,TRUE,
,,,,,,,,lname,varchar(100),Company Long Name,,,
,,,,,,,,bnk_name,varchar(50),Bank Name,TRUE,TRUE,bank_name
16,Management Biodata,http://jwttoken.cmots.com/Aidea/api/Biodata/6,,11:30 PM,Once on trading day,cocode,CMOTS Company code,Output,OutputType,OutDesc,,,
,,,,,,,,co_code,Int,CMOTS Company Code,TRUE,TRUE,
,,,,,,,,lname,varchar(100),Company Long Name,,,
,,,,,,,,memo,ntext,memo,,,
17,Auditorâ€™s Report,http://jwttoken.cmots.com/Aidea/api/AuditorsReports/6,,11:30 PM,Once on trading day,cocode,CMOTS Company code,Output,OutputType,OutDesc,,,
,,,,,,,,co_code,int,CMOTS Company Code,TRUE,TRUE,
,,,,,,,,lname,varchar(100),Company Long Name,,,
,,,,,,,,symbol,varchar(100),symbol,,,
,,,,,,,,memo,ntext,MEMO,,,auditor_report
,,,,,,,,yr,int,Year,TRUE,TRUE,
18,Notes to Account,http://jwttoken.cmots.com/Aidea/api/NotesToAccount/476/2024,,11:30 PM,Once on trading day,cocode,CMOTS Company code,Output,OutputType,OutDesc,,,
,,,,,,,,co_code,Int,CMOTS Company Code,,,
,,,,,,,,lname,varchar(100),LNAME,,,
,,,,,,,,memo,ntext,MEMO,,,notes_to_account
,,,,,,,,year,Int,year,TRUE,TRUE,
19,Finished Products,http://jwttoken.cmots.com/Aidea/api/FinishedProducts/6,,11:30 PM,Once on trading day,cocode,CMOTS Company code,Output,OutputType,OutDesc,,,
,,,,,,,,co_code,int,CMOTS Company Code,TRUE,TRUE,
,,,,,,,,lname,Varchar (100),Company Long Name,TRUE,TRUE,
,,,,,,,,yrc,int,Year,TRUE,TRUE,
,,,,,,,,prname,Varchar (100),Product Name,TRUE,TRUE,product_name
,,,,,,,,uom,Varchar (100),UOM,TRUE,TRUE,unit_of_measurement
,,,,,,,,per_sale,float,Per Sale,,,percentage_sale
,,,,,,,,inst,float,Inst,,,
,,,,,,,,prodn,float,Prodn,,,production
,,,,,,,,saleqty,float,Sale Quantity,,,sale_quantity
,,,,,,,,saleval,float,Sale Value,,,sale_value
,,,,,,,,symbol,Varchar (100),symbol,,,
20,Raw Material,http://jwttoken.cmots.com/Aidea/api/RawMaterials/6,,11:30 PM,Once on trading day,cocode,CMOTS Company code,Output,OutputType,OutDesc,,,
,,,,,,,,co_code,Int,CMOTS Company Code,TRUE,TRUE,
,,,,,,,,lname,Varchar (100),Company Long Name,,,
,,,,,,,,yrc,int,Year,TRUE,TRUE,
,,,,,,,,prname,Varchar (100),Product Name,TRUE,TRUE,product_name
,,,,,,,,uom,Varchar (100),UOM,TRUE,TRUE,unit_of_measurement
,,,,,,,,qty,float,Quantity,,,quantity
,,,,,,,,value,float,Value,,,value
,,,,,,,,year,int,Year,TRUE,TRUE,
,,,,,,,,symbol,Varchar (100),symbol,TRUE,TRUE,
21,Related Party Transaction,http://jwttoken.cmots.com/Aidea/api/Related_Party_Transaction/6,,11:30 PM,Once on trading day,cocode,CMOTS Company code,Output,OutputType,OutDesc,,,
,,,,,,,,co_code,Int,CMOTS Company Code,TRUE,TRUE,
,,,,,,,,yrc,int,Year,TRUE,TRUE,
,,,,,,,,slno,int,SLNO,TRUE,TRUE,
,,,,,,,,nat_trans,varchar(50),NAT TRANS,TRUE,TRUE,
,,,,,,,,assoc,float,ASSOC,,,associate
,,,,,,,,subsi,float,SUBSI,,,subsidiary
,,,,,,,,kmp,float,KMP,,,kmp
,,,,,,,,rkmp,float,RKMP,,,rkmp
,,,,,,,,jv,float,JV,,,joint_venture
,,,,,,,,ind,float,IND,,,independent
,,,,,,,,oth,float,OTH,,,others
,,,,,,,,hc,float,HC,,,
,,,,,,,,type,varchar(50),TYPE,TRUE,TRUE,type
,,,,,,,,subtype,varchar(50),SUBT YPE,TRUE,TRUE,sub_type
,,,,,,,,total,float,TOTAL,,,total
,,,,,,,,class,varchar(50),CLASS,TRUE,TRUE,
